tick,agent-type,activity,bite-stat,patch-landuse
0,adult,2,false,61
0,child,3,false,60
0,adult,2,false,60
0,adult,2,false,62
0,adult,1,false,60
0,adult,2,false,61
0,senior,3,false,60
0,child,2,false,60
0,child,1,false,62
0,adult,2,false,61
0,adult,2,false,60
0,senior,2,false,62
0,adult,3,false,60
0,adult,3,false,60
0,adult,1,false,60
0,adult,2,false,60
0,adult,2,false,60
0,senior,3,false,60
0,senior,2,false,60
0,adult,1,false,62
0,adult,2,false,61
0,adult,1,false,60
0,senior,1,false,60
0,adult,2,false,62
0,adult,3,false,62
0,adult,3,false,62
0,adult,1,false,60
0,adult,1,false,62
0,adult,2,false,62
0,adult,2,false,62
0,senior,1,false,62
0,child,3,false,62
0,senior,2,false,62
0,adult,2,false,62
0,adult,1,false,60
0,adult,3,false,60
0,adult,1,false,60
0,adult,2,false,62
0,adult,1,false,62
0,senior,1,false,62
0,adult,1,false,62
0,adult,3,false,62
0,adult,3,false,62
0,senior,2,false,62
0,child,3,false,60
0,adult,1,false,60
0,senior,3,false,62
0,adult,1,false,62
0,adult,2,false,62
0,adult,2,false,60
0,adult,3,false,60
0,adult,2,false,62
0,senior,2,false,60
0,adult,3,false,62
0,senior,2,false,62
0,adult,2,false,60
0,adult,1,false,60
0,adult,3,false,62
0,child,3,false,60
0,adult,3,false,60
0,child,1,false,62
0,senior,2,false,62
0,adult,3,false,60
0,senior,3,false,60
0,adult,3,false,62
0,senior,2,false,61
0,adult,2,false,61
0,adult,3,false,62
0,senior,1,false,62
0,senior,1,false,60
0,adult,1,false,62
0,adult,3,false,62
0,senior,1,false,60
0,adult,3,false,60
0,child,2,false,62
0,child,3,false,62
0,adult,3,false,60
0,adult,1,false,62
0,adult,3,false,60
0,child,1,false,62
0,adult,1,false,62
0,senior,2,false,60
0,adult,3,false,62
0,adult,2,false,60
0,adult,1,false,60
0,adult,1,false,62
0,senior,3,false,60
0,adult,2,false,62
0,adult,2,false,62
0,adult,1,false,62
1,adult,2,false,60
1,adult,1,false,62
1,senior,1,false,62
1,child,2,false,62
1,adult,3,false,62
1,adult,3,false,60
1,adult,2,false,62
1,senior,3,false,62
1,adult,2,false,60
1,adult,1,false,60
1,adult,1,false,60
1,adult,1,false,62
1,adult,1,false,62
1,adult,1,false,62
1,child,2,false,62
1,adult,2,false,60
1,adult,3,false,62
1,senior,3,false,62
1,child,1,true,60
1,adult,3,false,62
1,senior,3,false,60
1,child,3,false,62
1,senior,2,false,62
1,senior,3,false,62
1,adult,3,false,60
1,adult,2,false,60
1,adult,1,false,60
1,adult,2,false,62
1,adult,1,false,62
1,senior,1,false,62
1,adult,3,false,60
1,adult,2,false,60
1,adult,1,false,62
1,adult,2,false,62
1,adult,3,true,60
1,senior,2,false,60
1,adult,1,false,62
1,child,1,false,62
1,adult,3,false,60
1,adult,1,false,62
1,adult,2,false,62
1,adult,3,false,62
1,adult,2,false,62
1,adult,2,false,62
1,adult,3,false,62
1,child,2,false,62
1,adult,1,false,62
1,adult,3,false,60
1,adult,1,false,60
1,adult,3,false,62
1,adult,2,false,60
1,adult,1,false,60
1,adult,3,false,62
1,adult,1,false,60
1,adult,2,false,60
1,senior,1,false,62
1,adult,2,false,60
1,adult,3,true,62
1,child,3,false,60
1,senior,2,false,60
1,senior,2,false,60
1,senior,3,false,60
1,senior,3,true,60
1,adult,1,false,60
1,child,1,false,60
1,adult,3,false,62
1,adult,2,false,60
1,adult,3,false,60
1,senior,1,false,62
1,adult,1,false,62
1,senior,3,false,60
1,adult,3,false,62
1,child,2,false,62
1,adult,1,false,60
1,senior,3,true,62
1,senior,2,false,62
1,senior,2,false,60
1,senior,2,false,60
1,adult,2,false,60
1,adult,1,false,60
1,adult,2,false,61
1,adult,3,false,62
1,senior,2,false,60
1,adult,3,true,62
1,adult,2,false,62
1,adult,1,false,62
1,adult,2,false,62
1,adult,2,false,60
1,adult,3,false,62
1,child,1,false,62
2,adult,2,false,60
2,adult,1,false,62
2,child,1,true,60
2,senior,2,false,62
2,child,2,false,60
2,adult,2,false,62
2,senior,1,false,62
2,adult,1,false,60
2,senior,1,false,62
2,adult,1,false,60
2,adult,2,false,62
2,adult,2,true,62
2,adult,2,true,60
2,senior,3,false,62
2,adult,1,false,62
2,adult,3,false,62
2,senior,2,false,60
2,adult,3,false,60
2,adult,1,false,62
2,child,3,false,62
2,adult,3,true,62
2,adult,2,false,60
2,adult,2,false,62
2,adult,1,false,62
2,adult,3,false,62
2,adult,2,false,61
2,adult,2,false,62
2,senior,1,false,60
2,senior,1,false,60
2,senior,1,false,62
2,senior,2,true,62
2,senior,3,false,62
2,adult,3,false,62
2,adult,3,false,60
2,adult,1,false,60
2,senior,3,false,60
2,adult,2,false,62
2,child,1,false,60
2,adult,1,false,60
2,adult,1,false,60
2,senior,1,false,62
2,child,2,false,62
2,adult,3,false,62
2,senior,1,false,62
2,adult,2,false,60
2,adult,1,false,62
2,adult,2,false,60
2,adult,2,true,60
2,adult,1,false,60
2,adult,1,false,60
2,adult,3,false,62
2,adult,1,false,62
2,adult,3,false,62
2,senior,2,false,61
2,senior,3,false,62
2,child,3,false,60
2,adult,2,false,60
2,adult,2,false,62
2,child,1,false,62
2,adult,3,false,60
2,adult,3,false,62
2,senior,2,false,60
2,adult,3,false,62
2,adult,2,false,62
2,adult,2,false,60
2,adult,1,false,60
2,adult,2,false,62
2,child,2,false,62
2,senior,1,false,60
2,adult,1,false,60
2,adult,3,false,62
2,senior,1,false,62
2,adult,1,false,62
2,adult,3,true,62
2,adult,3,false,62
2,adult,3,false,62
2,senior,2,false,61
2,adult,3,false,62
2,adult,3,false,60
2,adult,1,false,62
2,adult,1,false,60
2,senior,2,false,62
2,adult,2,false,60
2,adult,2,false,62
2,child,2,false,61
2,adult,2,false,60
2,adult,2,false,62
2,adult,3,false,62
2,adult,2,false,60
2,child,2,false,62
3,senior,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,true,20
3,senior,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,true,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,senior,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,senior,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,true,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,true,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,child,4,false,20
3,adult,4,false,20
3,senior,4,false,20
3,senior,4,false,20
3,adult,4,false,20
3,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,child,4,false,20
4,child,4,false,20
4,senior,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,senior,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,senior,4,false,20
4,senior,4,false,20
4,senior,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
4,child,4,false,20
4,adult,4,false,20
5,adult,4,false,20
5,senior,2,false,60
5,adult,4,false,20
5,senior,2,false,60
5,adult,4,false,20
5,senior,3,false,60
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
5,adult,4,false,20
