time-step,new-children-bites,new-adults-bites,new-seniors-bites,new-tourists-children-bites,new-tourists-adults-bites,new-tourists-seniors-bites
0,0,0,0,0,0,0
1,4,3,2,0,0,0
2,3,5,1,0,0,0
3,0,4,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,1,0,0,0,0
22,0,0,0,0,0,0
23,1,5,2,0,0,0
24,0,0,0,0,0,0
25,3,9,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,1,10,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,1,11,2,0,0,0
34,2,8,2,0,0,0
35,1,9,4,0,0,0
36,3,4,5,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,3,9,3,0,0,0
40,2,3,1,0,0,0
41,2,8,2,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,3,2,1,0,0,0
45,0,2,1,0,0,0
46,1,2,6,0,0,0
47,5,4,1,0,0,0
48,0,3,2,0,0,0
49,5,8,2,0,0,0
50,0,7,2,0,0,0
51,1,2,1,0,0,0
52,4,11,2,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,2,4,0,0,0,0
60,2,3,1,0,0,0
61,1,2,2,0,0,0
62,4,5,6,0,0,0
63,1,10,4,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,2,5,7,0,0,0
69,2,9,3,0,0,0
70,1,7,1,0,0,0
71,0,5,0,0,0,0
72,1,5,1,0,0,0
73,3,9,4,0,0,0
74,4,9,4,0,0,0
75,2,8,1,0,0,0
76,2,8,0,0,0,0
77,2,11,1,0,0,0
78,1,8,4,0,0,0
79,4,4,2,0,0,0
80,1,2,1,0,0,0
81,3,13,4,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,1,3,3,0,0,0
86,3,3,3,0,0,0
87,0,4,3,0,0,0
88,1,4,2,0,0,0
89,2,15,3,0,0,0
90,3,12,2,0,0,0
91,2,11,3,0,0,0
92,1,2,2,0,0,0
93,1,2,1,0,0,0
94,1,7,4,0,0,0
95,1,2,1,0,0,0
96,2,3,1,0,0,0
97,1,9,2,0,0,0
98,3,9,2,0,0,0
99,0,1,4,0,0,0
100,2,4,2,0,0,0
101,1,2,2,0,0,0
102,1,9,5,0,0,0
103,1,10,1,0,0,0
104,3,10,3,0,0,0
105,1,8,0,0,0,0
106,0,3,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,3,8,3,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,7,1,0,0,0
117,4,12,5,0,0,0
118,6,9,1,0,0,0
119,4,4,2,0,0,0
120,5,11,5,0,0,0
121,4,13,5,0,0,0
122,2,11,1,0,0,0
123,0,3,1,0,0,0
124,2,11,3,0,0,0
125,1,10,2,0,0,0
126,1,5,5,0,0,0
127,2,4,3,0,0,0
128,6,7,2,0,0,0
129,2,2,2,0,0,0
130,4,5,4,0,0,0
131,2,6,3,0,0,0
132,3,11,3,0,0,0
133,2,9,2,0,0,0
134,1,6,3,0,0,0
135,3,11,1,0,0,0
136,3,2,2,0,0,0
137,1,5,3,0,0,0
138,3,13,2,0,0,0
139,1,5,0,0,0,0
140,3,8,3,0,0,0
141,0,3,1,0,0,0
142,1,6,1,0,0,0
143,3,14,3,0,0,0
144,2,7,2,0,0,0
145,0,0,0,0,0,0
146,2,9,3,0,0,0
147,1,2,1,0,0,0
148,0,4,0,0,0,0
149,0,2,1,0,0,0
150,1,1,1,0,0,0
151,3,8,2,0,0,0
152,4,11,4,2,6,3
153,3,6,2,4,9,0
154,2,6,3,4,12,3
155,2,3,2,3,8,1
156,2,4,2,1,13,2
157,4,5,3,3,10,5
158,2,4,5,2,12,3
159,2,3,3,1,13,3
160,6,12,4,4,8,2
161,2,2,0,3,5,0
162,3,6,3,4,9,4
163,2,3,1,6,17,4
164,1,1,1,5,10,2
165,2,11,0,1,12,0
166,0,8,4,3,8,1
167,1,7,5,2,15,3
168,1,12,6,1,10,1
169,3,11,2,4,17,2
170,3,4,3,2,9,0
171,0,5,2,1,7,0
172,4,8,2,4,15,4
173,0,6,0,0,12,1
174,3,8,3,2,8,0
175,1,12,4,2,7,3
176,0,9,3,4,14,3
177,1,4,5,1,15,3
178,1,2,4,5,18,3
179,1,4,3,1,14,3
180,2,3,1,3,5,1
181,3,8,4,5,11,4
