time-step,total-children-bites,total-adults-bites,total-seniors-bites,total-tourists-children-bites,total-tourists-adults-bites,total-tourists-seniors-bites
0,0,0,0,0,0,0
1,4,3,2,0,0,0
2,7,8,3,0,0,0
3,7,12,3,0,0,0
4,7,12,3,0,0,0
5,7,12,3,0,0,0
6,7,12,3,0,0,0
7,7,12,3,0,0,0
8,7,12,3,0,0,0
9,7,12,3,0,0,0
10,7,12,3,0,0,0
11,7,12,3,0,0,0
12,7,12,3,0,0,0
13,7,12,3,0,0,0
14,7,12,3,0,0,0
15,7,12,3,0,0,0
16,7,12,3,0,0,0
17,7,12,3,0,0,0
18,7,12,3,0,0,0
19,7,12,3,0,0,0
20,7,12,3,0,0,0
21,7,13,3,0,0,0
22,7,13,3,0,0,0
23,8,18,5,0,0,0
24,8,18,5,0,0,0
25,11,27,5,0,0,0
26,11,27,5,0,0,0
27,11,27,5,0,0,0
28,11,27,5,0,0,0
29,12,37,5,0,0,0
30,12,37,5,0,0,0
31,12,37,5,0,0,0
32,12,37,5,0,0,0
33,13,48,7,0,0,0
34,15,56,9,0,0,0
35,16,65,13,0,0,0
36,19,69,18,0,0,0
37,19,69,18,0,0,0
38,19,69,18,0,0,0
39,22,78,21,0,0,0
40,24,81,22,0,0,0
41,26,89,24,0,0,0
42,26,89,24,0,0,0
43,26,89,24,0,0,0
44,29,91,25,0,0,0
45,29,93,26,0,0,0
46,30,95,32,0,0,0
47,35,99,33,0,0,0
48,35,102,35,0,0,0
49,40,110,37,0,0,0
50,40,117,39,0,0,0
51,41,119,40,0,0,0
52,45,130,42,0,0,0
53,45,130,42,0,0,0
54,45,130,42,0,0,0
55,45,130,42,0,0,0
56,45,130,42,0,0,0
57,45,130,42,0,0,0
58,45,130,42,0,0,0
59,47,134,42,0,0,0
60,49,137,43,0,0,0
61,50,139,45,0,0,0
62,54,144,51,0,0,0
63,55,154,55,0,0,0
64,55,154,55,0,0,0
65,55,154,55,0,0,0
66,55,154,55,0,0,0
67,55,154,55,0,0,0
68,57,159,62,0,0,0
69,59,168,65,0,0,0
70,60,175,66,0,0,0
71,60,180,66,0,0,0
72,61,185,67,0,0,0
73,64,194,71,0,0,0
74,68,203,75,0,0,0
75,70,211,76,0,0,0
76,72,219,76,0,0,0
77,74,230,77,0,0,0
78,75,238,81,0,0,0
79,79,242,83,0,0,0
80,80,244,84,0,0,0
81,83,257,88,0,0,0
82,83,257,88,0,0,0
83,83,257,88,0,0,0
84,83,257,88,0,0,0
85,84,260,91,0,0,0
86,87,263,94,0,0,0
87,87,267,97,0,0,0
88,88,271,99,0,0,0
89,90,286,102,0,0,0
90,93,298,104,0,0,0
91,95,309,107,0,0,0
92,96,311,109,0,0,0
93,97,313,110,0,0,0
94,98,320,114,0,0,0
95,99,322,115,0,0,0
96,101,325,116,0,0,0
97,102,334,118,0,0,0
98,105,343,120,0,0,0
99,105,344,124,0,0,0
100,107,348,126,0,0,0
101,108,350,128,0,0,0
102,109,359,133,0,0,0
103,110,369,134,0,0,0
104,113,379,137,0,0,0
105,114,387,137,0,0,0
106,114,390,137,0,0,0
107,114,390,137,0,0,0
108,114,390,137,0,0,0
109,117,398,140,0,0,0
110,117,398,140,0,0,0
111,117,398,140,0,0,0
112,117,398,140,0,0,0
113,117,398,140,0,0,0
114,117,398,140,0,0,0
115,117,398,140,0,0,0
116,117,405,141,0,0,0
117,121,417,146,0,0,0
118,127,426,147,0,0,0
119,131,430,149,0,0,0
120,136,441,154,0,0,0
121,140,454,159,0,0,0
122,142,465,160,0,0,0
123,142,468,161,0,0,0
124,144,479,164,0,0,0
125,145,489,166,0,0,0
126,146,494,171,0,0,0
127,148,498,174,0,0,0
128,154,505,176,0,0,0
129,156,507,178,0,0,0
130,160,512,182,0,0,0
131,162,518,185,0,0,0
132,165,529,188,0,0,0
133,167,538,190,0,0,0
134,168,544,193,0,0,0
135,171,555,194,0,0,0
136,174,557,196,0,0,0
137,175,562,199,0,0,0
138,178,575,201,0,0,0
139,179,580,201,0,0,0
140,182,588,204,0,0,0
141,182,591,205,0,0,0
142,183,597,206,0,0,0
143,186,611,209,0,0,0
144,188,618,211,0,0,0
145,188,618,211,0,0,0
146,190,627,214,0,0,0
147,191,629,215,0,0,0
148,191,633,215,0,0,0
149,191,635,216,0,0,0
150,192,636,217,0,0,0
151,195,644,219,0,0,0
152,199,655,223,2,6,3
153,202,661,225,6,15,3
154,204,667,228,10,27,6
155,206,670,230,13,35,7
156,208,674,232,14,48,9
157,212,679,235,17,58,14
158,214,683,240,19,70,17
159,216,686,243,20,83,20
160,222,698,247,24,91,22
161,224,700,247,27,96,22
162,227,706,250,31,105,26
163,229,709,251,37,122,30
164,230,710,252,42,132,32
165,232,721,252,43,144,32
166,232,729,256,46,152,33
167,233,736,261,48,167,36
168,234,748,267,49,177,37
169,237,759,269,53,194,39
170,240,763,272,55,203,39
171,240,768,274,56,210,39
172,244,776,276,60,225,43
173,244,782,276,60,237,44
174,247,790,279,62,245,44
175,248,802,283,64,252,47
176,248,811,286,68,266,50
177,249,815,291,69,281,53
178,250,817,295,74,299,56
179,251,821,298,75,313,59
180,253,824,299,78,318,60
181,256,832,303,83,329,64
